Start Latitude,Start Longitude,End Latitude,End Longitude,Transect number,CTD #/flow File,Depth (m),Total bacteria/mL,Active bacteria/mL,Dead bacteria/mL,Protozoa/mL,Phytoplankton/mL,,,,,,integrated Phytoplankton/mL
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.001,9.06,193155.3371,56856.03789,107058.7108,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.002,20.802,196739.6629,54053.13839,105440.8919,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.003,31.939,236470.6822,75094.34926,251814.6465,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.004,40.235,236281.0353,65011.69687,173033.9394,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.005,50.792,255862.541,66860.83196,184144.2818,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.006,82.04,115415.9504,37157.88303,76707.46776,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.007,100.953,122604.3572,79006.72982,105136.9755,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.008,120.918,130496.4706,36126.2603,114017.9781,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.009,150.222,138480.5984,30715.10708,99399.23208,,,,,,,,
-60.59971,78.53613,-60.5997,78.5493,12,CTD2 syto13.010,202.179,152205,25303.95387,88741.39091,,,,,,,,
-59.79757,75.60001,-59.79472,75.59626,12,CTD4 syto13.001,10.415,329501.0299,44846.39209,111433.3726,,,,,,,,
-59.79757,75.60001,-59.79472,75.59626,12,CTD4 syto13.002,30.343,357588.9686,36856,95619.06977,,,,,,,,
-59.79757,75.60001,-59.79472,75.59626,12,CTD4 syto13.003,49.754,358184.2746,39112.88984,109325.216,,,,,,,,
-59.79757,75.60001,-59.79472,75.59626,12,CTD4 syto13.004,72.003,379090.4934,40699.6496,112082.8378,,,,,,,,
-59.79757,75.60001,-59.79472,75.59626,12,CTD4 syto13.005,129.505,166179.6391,22867.16967,67394.43787,,,,,,,,
-60.32088,74.59236,-60.32045,74.58723,12,CTD6 syto13.001,8.152,158559.6571,49684.64348,98705.38745,,,,,,,,
-60.32088,74.59236,-60.32045,74.58723,12,CTD6 syto13.002,31.695,210344.2126,80112.06004,137126.3367,,,,,,,,
