X,Y,OBJECTID,NAME,ID,LONG_DD,LAT_DD,LONG_DMS,LAT_DMS,SECTOR,STATE,COUNTY,PHYS_ADD,CITY,ZIP_CODE,CONTACT,CONTACT2,SITE_DESC,SITE_DESC2,SITE_DESC3,FACIL_TYPE,OIL_TYPES,PROB_RISK,MAX_RISK,MAX_RISK2,WORST_CASE,WORST_CASE2,GRP_MAP,Signature
,,159,,,,,,,,,,,,,,,,,,,,,,,,,,
,,160,,,-95.199785,39.932819,"95Â° 11&#39; 59.2261&#39;&#39; W",39-55-58.1485-N,Charleston,,,,,,null,null,null,null,null,,,,null,null,"test 12/9/14; ",null,null,
-79.990000000413659,33.242777777734283,1,Santee Cooper, ,-79.990000,33.242778,"79° 59' 24.000"" W","33° 14' 34.000"" N",Charleston,South Carolina,Berkeley,State Road S-8-746,Moncks Corner,29461, , ,South Carolina Power Company, , , ,"G Oil, Transformer oil, Petro Product", , , , , ,SC-20,
-66.108925000083445,18.421208332619727,2,BTB Catano,R-03,-66.108925,18.421208,"66° 6' 32.130"" W","18° 25' 16.350"" N",San Juan,Puerto Rico,Guaynabo, ,Pueblo Viejo, ,"Miguel Castellan: Office: 787-273-2732, Cell: 787-590-9075", ,BTB is located in the southern side of the San Juan Harbor between the old Army Terminal that transfers Asphalt from the Cataño Oil Dock., , ,154 Facility,Asphalt,The average most probable discharge is 1 percent (300 Bbl) of the worst case discharge or 50 Bbl which ever is less.,"The Maximum most probable discharge is 10 percent (3,000 Bbl) of the worst case discharge or 1200 barrels which ever is less.", ,"The facility's worst case discharge is 30,000 Bbl.", ,PR-12,
-66.111111111412768,18.428891667068982,3,Caribbean Petroleum Refining (GULF),R-06,-66.111111,18.428892,"66° 6' 40.000"" W","18° 25' 44.010"" N",San Juan,Puerto Rico,Guaynabo, ,Pueblo Viejo, ,Julio Hernandez: Office: 787-622-8234, ,"Caribbean Petroleum Refining Limited Partnership (CPRLP) posses an onshore facility located on Sate Road No. 28, Km. 2.0, at Luchetti Industrial Park in Bayamón, P.R and a Marine Transfer Waterfront Facility (Dock), located in Jesus V. Roman Street,","Sabana Ward, Guaynabo, P.R. The onshore facility consists of the refinery process area, a tank farm, three tank truck loading rack areas, the wastewater treatment plant and administrative offices.",A 2.5 mile dedicated pipeline system connects the onshore facility to the Dock.,154 Facility,"No 6 Fuel Oil, Gasoline, Diesel, Bunker Oil, Jet Fuel, Kerosene",The average most probable discharge is 1 percent (187 Bbl) of the worst case discharge or 50 Bbl which ever is less.,"The Maximum most probable discharge is 10 percent (1,873 Bbl) of the worst case discharge or 1200 barrels which ever is less.", ,"The facility's worst case discharge is 18,733 Bbl.", ,PR-12,
-66.699720940051691,18.471115221991866,4,PREPA Cambalache,R-20,-66.699721,18.471115,"66° 41' 58.995"" W","18° 28' 16.015"" N",San Juan,Puerto Rico,Arecibo,"PR-681, Km 0.5",Arecibo,00612,Alejandro Gonzalez: Office: 787-816-6296, ,PREPA Cambalache is located at Route 681 Km 0.5 Cambalache Ward Arecibo P.R. The Facility uses the Arecibo fuel dock to transfer  #2 fuel oil from moored barges to the fuel oil storage tanks located at the plant site. The fuel oil unloading,"facility is located along the south side of the Arecibo Dock, accessed from the north end of Puerto Rico Route 655. The dock, in turn, is located at the north-eastern side of Puerto Arecibo, approximately one mile east of the downtown Arecibo.", ,154 Facility,Grade Type No 2 (light distillate oil),"The average most probable discharge is 1 percent (42 Bbl) of the worst case discharge or 50 barrels which ever is less. Since 42 Bbl is less than 50 Bbl, 42 Bbl will be used as the planning volume and is the CGS's average most probable discharge.","The Maximum most probable discharge is 10 percent (419 Bbl) of the worst case discharge or 1200 barrels which ever is less. Since 419 Bbl is less than 50 Bbl, 419 Bbl will be used as the planning volume and is the CGS's average most probable discharge.", ,"The CGS is capable of unloading only one ocean going barge at a time.  The barge may have a max capacity of 10,700 (DWT).  Fuel loads of approximately 65,000 Bbl - 84,000 Bbl. With a light grade (30°-40° API No 2 fuel) oil only.","The facility's worst case discharge is 4,193 Bbl.",PR-7,
-66.149124575810106,18.456005987303588,5,PREPA Palo Seco,R-23,-66.149125,18.456006,"66° 8' 56.848"" W","18° 27' 21.622"" N",San Juan,Puerto Rico,Toa Baja,PR-165 KM. 3.8,Levittown,00949,Juan Tirado Office:  787-275-7004, ,"The Palo Seco Power Plant (PSPP) Fuel Oil Transfer Installation is located on the south side of San Juan Bay, on the Puerto Nuevo Pier, at Terminals ""A"" and ""B"". Land entrance to the installation is from the Navy Access Road adjacent to the former","Army Embarkation Terminal. This is an onshore electric power generation facility with four generating units, oil fired with No. 6 fuel oil, and four gas turbines, oil fired with No. 2 fuel oil. There is no underground oil storage.","The total above ground oil storage capacity is 24, 145, 692 gallons.",154 Facility,Grade Type No 6 oil (Bunker C) and Grade Type No 2 (light distillate oil),"The average most probable discharge is 1 percent (232 Bbl) of the worst case discharge or 50 Bbl which ever is less.  Although 232 Bbl is greater than 50 Bbl, 50 Bbl will be used as the planning volume and is the PSPP average most probable discharge.",The Maximum most probable discharge is 10 percent (2323 Bbl) of the worst case discharge or 1200 Bbl which ever is less.,"Although 2323 Bbl is greater than 1,200 Bbl, 1,200 Bbl will be used as the planning volume and is the PSPP average most probable discharge.","The PSPP receive fuel oil shipment in Puerto Nuevo Pier.  The transfer facility is capable of unloading two 90,000 Bbl. Barges simultaneously or one 250,000 Bbl.","Ship. Bunker C and light distillate oil can be transferred from dockside to Palo Seco Power Plant.  The facility's worst case discharge is 23,233 Bbl.",PR-11,
-66.101599999814482,18.421105556416418,6,Puma,R-25,-66.101600,18.421106,"66° 6' 5.760"" W","18° 25' 15.980"" N",San Juan,Puerto Rico,Guaynabo, ,Pueblo Viejo, ,Brian V. Vazquez: 787-552-0512, ,"Puma Energy is located at Road #28, Kilometer 0.2, Bo. Pueblo Viejo, Guaynabo, Puerto Rico 00965. No access is available to its immediate west, or south sides. The dock, under the operational control of Esso Standard Oil Puerto Rico,","is located approximately 1,850 meters (1.1 miles) from this facility. A 1,850 meter pipeline connects the vessel's connection to the receiving tanks.", ,154 Facility,Diesel                Gasoline,The average most probable discharge is 1 percent (926 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (9270 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 92,696 Bbl.", ,PR-11,
-66.091738889310136,18.450894444321523,7,Aqua Clean,R-01,-66.091739,18.450894,"66° 5' 30.260"" W","18° 27' 3.220"" N",San Juan,Puerto Rico,San Juan, ,Santurce, ,"Stan R Jorkjewicz: 787-729-0881, 787-605-6969", ,"Mobile Facility consisting of a Ford F700 with an 18' box, equipped with a roll-up door and a hydraulic back lift a walker pump model PT60T with a 1300 gallon per minute capacity, a acme pump model 4x4 with a 38, 400 gallon per hour capacity,",a humlite pump model 3x3 with a 380 gallon per minute capacity and a ITT marlow pump explosion proff for the handling of JP-5., ,Mobile 154,"JP-5, Lube Oil, Fuel Oil #6, Diesel, IFO",The average most probable discharge is 1 percent (2.38 Bbl) ( 80gal.) of the worst case discharge or 50 Bbl which ever is less.,"The Maximum most probable discharge is 10 percent (23.80 Bbl) (1,000gal) of the worst case discharge or 1200 Bbl which ever is less.", ,"The facility's worst case discharge is 238.09 Bbl. (10,000 gal).", ,PR-12,
-66.152288888703467,18.423266667376769,8,ENSCO,R-14,-66.152289,18.423267,"66° 9' 8.240"" W","18° 25' 23.760"" N",San Juan,Puerto Rico,Cataño, ,Palmas, ,"Juan Raul Trigo: (787) 641-5393, (787) 509-3301", ,"Mobile Facility consisting of various tank trailors and vacuum trucks of different capacities ranging from 1500 to 10,000 gallons. These facilities are moved by the attachment of a tractor trailor or self powered.", , ,Mobile 154,"Diesel, Lube Oil, Fuel Oil #5, IFO, JP-5, Waste Oil",The average most probable discharge is 1 percent (2.38 Bbl) ( 80gal.) of the worst case discharge or 50 Bbl which ever is less.,"The Maximum most probable discharge is 10 percent (23.80 Bbl) (1,000gal) of the worst case discharge or 1200 Bbl which ever is less.", ,"The facility's worst case discharge is 238.09 Bbl. (10,000 gal).", ,PR-11,
-66.09326111240685,18.461477778088081,9,Harbor Fuels,R-16,-66.093261,18.461478,"66° 5' 35.740"" W","18° 27' 41.320"" N",San Juan,Puerto Rico,San Juan, ,San Juan Antiguo, ,"Eric Rivera: Office: 787-723-1182, Cell: 787-447-8165", ,"Mobile Facility located at Navy Frontier Pier, consisting of 4 tank trailor trucks and 5 tank barges.", , ,Mobile 154,"Diesel, Fuel Oil #6, IFO, Used Oil",The average most probable discharge is 1 percent (2.4 Bbl) (100gal.) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (23.81 Bbl)      ( 1000 gal.) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 238 Bbl. (10,000gal)", ,PR-12,
-66.249977777886372,18.420538888874212,10,Royal Petroleum,R-26,-66.249978,18.420539,"66° 14' 59.920"" W","18° 25' 13.940"" N",San Juan,Puerto Rico,Toa Baja, ,Media Luna, ,"Angel Cruz: 787-794-4438, 787-692-9788", ,The facility consists of various tractors and tanks of different capacities. Some of these tanks are divided into multiple compartments and are equipped with positive displacement pumps.,"The facility has various tanks ranging from 6,000 to 10,000 gallon capacities.", ,Mobile 154,"IFO, Fuel Oil #6, JP-5, Lube Oil, Diesel",The average most probable discharge is 1 percent (2.38 Bbl) ( 80gal.) of the worst case discharge or 50 Bbl which ever is less.,"The Maximum most probable discharge is 10 percent (23.80 Bbl) (1,000gal) of the worst case discharge or 1200 Bbl which ever is less.", ,"The facility's worst case discharge is 238.09 Bbl. (10,000 gal).", ,PR-10,
-66.151036110784673,18.42377222229533,11,Clean Harbors Caribe Inc (CHCI),R-08,-66.151036,18.423772,"66° 9' 3.730"" W","18° 25' 25.580"" N",San Juan,Puerto Rico,Cataño, ,Palmas, ,Mike Bordoni  Office: 787-705-7718  24-Hour: 1-800-645-8265, ,"Mobile Facility located at Road 869 Street #2, Palmas Ward, Cataño, PR. CHCI  is a field service center operated by Clean Harbors in Puerto Rico that has the ability to respond to Hazardous Material and Oil Spills.", , ,Mobile 154,"Fuel Oil #2, Fuel Oil #6, Gas Oil, Gasoline Stock, Gasoline, Jet Fuel, Kerosene, Lube Oil",The average most probable discharge is 1 percent (1.42 Bbl) (60gal.) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (14.2 Bbl) (600gal) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 142 Bbl. (6,000 gal).", ,PR-11,
-64.952242416625367,18.334585814077084,12,Crown Bay Marina,R-10,-64.952242,18.334586,"64° 57' 8.073"" W","18° 20' 4.509"" N",San Juan,US Virgin Islands,St. Thomas, ,Water Island, ,"Carole Dudley Office: 340-774-2255, Cell: 340-643-4122", ,"Crown Bay Marina is located in Crown Bay St. Thomas adjacent to the Crowley Pier. The facility conducts fueling for recreational boats and yachts. There are 3 storage tanks 50,00 gal. each for diesel and 2 tanks of 20,000 gal. of gasoline.",The tanks are filled via truck when needed., , ,"Gasoline, Diesel",The average most probable discharge is 1 percent (11.90 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (119.05 Bbl) of the worst case discharge or 1200 barrels which ever is less., ,The facility's worst case discharge is 1190.48 Bbl., ,VI-5,
-64.960305020879161,18.330003179901173,13,Domino Oil Company,R-12,-64.960305,18.330003,"64° 57' 37.098"" W","18° 19' 48.011"" N",San Juan,US Virgin Islands,St. Thomas, ,Charlotte Amalie, ,Till Bruaer: (787) 212-1700, ,"Domino Oil St. Thomas is located at parcels 1 and 2 Krum Bay St. Thomas U.S. Virgin Islands. The facility takes in gasoline and diesel from barges through an 8"" underground pipeline.",This product is then used for mobile transfers or transported to one of the many Domino gas stations in St. Thomas and St. John, , ,Gasoline. Diesel,The average most probable discharge is 1 percent (10.23 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (102.35 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,The facility's worst case discharge is 1023.5 Bbl., ,VI-5,
-64.972618575228282,18.332039995950549,14,TOTAL,R-29,-64.972619,18.332040,"64° 58' 21.427"" W","18° 19' 55.344"" N",San Juan,US Virgin Islands,St. Thomas, ,County subdivisions not defined, ,Elton Greaves:  (340) 774-6044 (340) 690-1408, ,"The San Juan Plant Fuel Oil Transfer Facility is located at the Cyril E. King Airport Cargo Area in Charlotte Amalie, St. Thomas, Virgin Islands on the west side of Lindbergh Bay.","Product is received by ship or barge using the multi-buoy sea berth and a submerged pipeline.  The total aboveground oil storage capacity is 508,368 gallons.", , ,"Gasoline, AVGas, JET A Fuel, Diesel",The average most probable discharge is 1 percent (19 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (857 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 1,868 Bbl.", ,PR-12,
-64.962230368349523,18.331770177173286,15,WAPA,R-31,-64.962230,18.331770,"64° 57' 44.029"" W","18° 19' 54.373"" N",San Juan,US Virgin Islands,St. Thomas, ,Charlotte Amalie, ,Maxwell George: (340) 690-8993, ,The Virgin Islands Water and Power Authority (WAPA) Krum Bay Power Plant is the only power generation station on St. Thomas.  It is located on the western shore of Krum Bay.  The facility consists of 16 above ground tanks of various sizes.,"Oil is transferred from barges or small tankers to the facility.  The total storage capacity is 6,699,000 gallons.", , ,"#2 Fuel oil, #6 fuel oil, Diesel, Gasoline",The average most probable discharge is 1 percent (50.4 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (1200 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 50,400 Bbl.", ,VI-5,
-64.921324104158487,18.336609634672314,16,Yacht Haven Grande,R-32,-64.921324,18.336610,"64° 55' 16.767"" W","18° 20' 11.795"" N",San Juan,US Virgin Islands,St. Thomas,"5304 Yacht Haven Grande, Suite 100",St. Thomas,00802,"Kristen Fritz-Galloway: (340) 642-7412, Office: Tel: (340) 774-9500, Fax: (340) 774-5045, Email: Marina@yachthavengrande.com  Website:  www.yachthavengrande.com", ,"Yacht Haven Grande is a marina that mainly services large private yachts.  It is located on Long Bay in St. Thomas, adjacent to Havensight Mall.  The facility has several ""in slip"" fueling stations and 2 above deck fueling pumps.", , , ,"Diesel, Gasoline Premium, Gasoline Regular, waste oil",Average most probably discharge for this facility is 1 percent of the worst case discharge (0.81 Bbl) of the worst case discharge or 50 Bbl which ever is less..,The Maximum most probable discharge is 10 percent (8.1 Bbl) of the worst case discharge or 1200 Bbls which ever is less., ,The facility's worst case discharge is 81 Bbl., ,VI-5,
-66.232777777362159,17.949444444392743,17,PREPA Aguirre,R-19,-66.232778,17.949444,"66° 13' 58.000"" W","17° 56' 58.000"" N",San Juan,Puerto Rico,Salinas,"PR-O3 Km 152.7 BO. MONTESORRIA,  AGUIRRE",Salinas,007510137,Rafael Perez Jimenez: 787-509-4810, ,"Prepa Aguirre is located on the north west side of Jobos Bay, Aguirre. The entrance of the facility is from road No.3, KM 152.  The facility receives fuel oil from moored barges to the fuel oil storage tanks located at the plant site.", , , ,"Bunker C, Diesel, OIL",The average most probable discharge is 1% around 2100 Gal.,The Maximum most probable discharge is 10 percent (890 Bbls.) of the worst case discharge or 8899Bbls. which ever is less, ,The facility's worst case discharge is 28899 Bbls., ,PR-63,
-67.160264029448371,18.21932557137357,18,PREPA Mayaguez,R-22,-67.160264,18.219326,"67° 9' 36.951"" W","18° 13' 9.572"" N",San Juan,Puerto Rico,Mayagüez, ,Mayagüez, ,"Cesar A. Ventura: 787-805-8470, 787-832-4453", ,PREPA Mayaguez is located at Route 341 on the east side of Mayaguez Harbor. The Facility uses the Port of Mayaguez fuel dock to transfer  #2 fuel oil from moored barges to the fuel oil storage tanks located at the plant site., , , ,"Diesel, Oil,  Bunker Oil",The average most probable discharge is 1% around 2100 Gal.,The Maximum most probable discharge is 10 percent (246 Bbls.) of the worst case discharge or 8035 Bbls. which ever is less., ,The facility's worst case discharge is 2460 Bbls., ,PR-29,
